Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
ELIFE HOLDINGS LIMITED,0.1280HKD,28.87M,-9.86%,Medical Equipment Wholesale
ELL ENVIRONMENTAL HOLDINGS LIMITED,0.1370HKD,21.62M,-8.05%,Sewage Treatment Facilities
EMBRY HOLDINGS LIMITED,0.2750HKD,16.17M,-25.68%,Other Apparel & Accessories
EMPEROR CAPITAL GROUP LIMITED,0.0820HKD,72.26M,-11.83%,Other Consumer Lending
EMPEROR CULTURE GROUP LIMITED,0.0280HKD,12.3M,-22.22%,Movie Theaters & Movie Products
EMPEROR ENTERTAINMENT HOTEL LIMITED,0.2230HKD,34.13M,-1.33%,Hotels & Motels
EMPEROR INTERNATIONAL HOLDINGS LIMITED,0.1790HKD,127M,-9.60%,Other Real Estate Development & Operations
EMPEROR WATCH & JEWELLERY LIMITED,0.2650HKD,259M,15.72%,Jewelry & Watch Retailers
ENERGY INTERNATIONAL INVESTMENTS HOLDINGS LIMITED,0.3700HKD,98.55M,15.62%,Gasoline Stations
ENM HOLDINGS LIMITED,0.3800HKD,83.21M,-1.30%,Other Apparel & Accessories Retailers
ENN ENERGY HOLDINGS LIMITED,56.20HKD,8.2B,-18.86%,Natural Gas Distribution
ENTERPRISE DEVELOPMENT HOLDINGS LIMITED,1.450HKD,45.32M,-50.34%,Enterprise Software
ENVIRO ENERGY INTERNATIONAL HOLDINGS LIMITED,0.0700HKD,25.72M,55.56%,Construction Material Wholesale
ENVISION GREENWISE HOLDINGS LIMITED,3.150HKD,1.15B,-1.87%,Other Construction & Engineering
EPI (HOLDINGS) LIMITED,0.2460HKD,61.64M,16.99%,Other Consumer Lending
"EPIWORLD INTERNATIONAL CO., LTD.",106.00HKD,5.71B,-,Other Semiconductors
EPRINT GROUP LIMITED,0.1010HKD,7.09M,-18.55%,Other Commercial Printing Services
EPS CREATIVE HEALTH TECHNOLOGY GROUP LIMITED,0.5500HKD,36.65M,-19.12%,Apparel Wholesale
ERNEST BOREL HOLDINGS LIMITED,1.740HKD,80M,-7.45%,Watches
ESPRIT HOLDINGS LIMITED,0.5300HKD,19.15M,-53.91%,Apparel Wholesale
ESSEX BIO-TECHNOLOGY LIMITED,2.930HKD,216M,-22.28%,Biopharmaceuticals
ESUN HOLDINGS LIMITED,0.0470HKD,10.98M,20.51%,Movie Theaters & Movie Products
ETERNAL BEAUTY HOLDINGS LIMITED,2.030HKD,352M,-3.33%,Beauty Supply Shop
ETERNITY INVESTMENT LIMITED,0.4300HKD,22.11M,-57.00%,Other Business Support Services
ETHK LABS INC.,0.7500HKD,168M,-71.37%,"Other Medical Equipment, Supplies & Distribution"
ETS GROUP LIMITED,0.3750HKD,13.96M,19.05%,Call Center Services
EUROEYES INTERNATIONAL EYE CLINIC LIMITED,2.600HKD,106M,-14.47%,Doctor's Office
EV DYNAMICS (HOLDINGS) LIMITED,0.5400HKD,22.79M,-28.95%,Other Industrial Machinery & Equipment
EVA PRECISION INDUSTRIAL HOLDINGS LIMITED,0.8300HKD,186M,0.00%,Industrial Moulds
EVER HARVEST GROUP HOLDINGS LIMITED,0.0990HKD,19.58M,4.21%,Other Marine Freight & Logistics
EVER REACH GROUP (HOLDINGS) COMPANY LIMITED,0.2190HKD,33.54M,-12.40%,Residential Real Estate Development
EVER SUNSHINE SERVICES GROUP LIMITED,1.750HKD,397M,2.34%,Other Real Estate Services
EVERBRIGHT GRAND CHINA ASSETS LIMITED,0.3950HKD,22.25M,1.28%,Other Real Estate Development & Operations
EVERCHINA INT'L HOLDINGS COMPANY LIMITED,0.0740HKD,67.02M,-41.73%,Other Fishing & Farming
EVEREST MEDICINES LIMITED,31.34HKD,1.43B,-15.20%,Biopharmaceuticals
EVERGRANDE PROPERTY SERVICES GROUP LIMITED,1.310HKD,1.86B,14.91%,Other Real Estate Services
EVERGREEN PRODUCTS GROUP LIMITED,0.4500HKD,36.19M,-3.23%,Hair Accessories
EXCELLENCE COMMERCIAL PROPERTY & FACILITIES MANAGEMENT GROUP LIMITED,0.7200HKD,117M,-12.20%,Office Real Estate Services
EXPERT SYSTEMS HOLDINGS LIMITED,0.1160HKD,11.89M,-1.69%,Other IT Services & Consulting
EXTRAWELL PHARMACEUTICAL HOLDINGS LIMITED,0.0810HKD,29.98M,-1.22%,Other Pharmaceuticals
F8 ENTERPRISES (HOLDINGS) GROUP LIMITED,0.1430HKD,2.51M,2.14%,Petroleum Product Wholesale
FAIRWOOD HOLDINGS LIMITED,3.920HKD,64.81M,-16.06%,Quick Service Restaurants
FAMEGLOW HOLDINGS LIMITED,8.370HKD,854M,74.38%,Personal Care Services
FAMOUS TECH INTERNATIONAL HOLDINGS LIMITED,0.2300HKD,13.05M,-34.29%,Other Software
FANGZHOU INC.,0.8300HKD,161M,-63.11%,Other Drug Retailers
"FANTASIA HOLDINGS GROUP CO., LIMITED",0.0540HKD,40.52M,-29.87%,Other Real Estate Development & Operations
FAR EAST CONSORTIUM INTERNATIONAL LIMITED,0.7500HKD,293M,4.17%,Other Real Estate Development & Operations
FAR EAST HOLDINGS INTERNATIONAL LIMITED,0.2750HKD,11.47M,74.05%,Other Real Estate Development & Operations
FAR EAST HORIZON LIMITED,7.370HKD,4.52B,-8.33%,Other Corporate Financial Services
FAR EAST HOTELS AND ENTERTAINMENT LIMITED,0.5200HKD,50.9M,18.18%,Hotels & Motels
FAR INTERNATIONAL HOLDINGS GROUP COMPANY LIMITED,1.150HKD,129M,33.72%,Other Air Freight & Logistics
FAST SYSTEMS TECH,0.0800HKD,1.93M,-,Lighting Fixtures
FDB HOLDINGS LIMITED,0.1010HKD,20.6M,10.99%,Other Construction & Engineering
FEG HOLDINGS CORPORATION LIMITED,0.2000HKD,9M,-51.22%,Building Contractors
FEISHANG ANTHRACITE RESOURCES LIMITED,0.0820HKD,14.62M,-19.61%,Other Coal
FEIYANG INTERNATIONAL HOLDINGS GROUP LIMITED,0.2400HKD,31.85M,-47.25%,Other Leisure & Recreation
FEIYU TECHNOLOGY INTERNATIONAL COMPANY LTD.,0.5300HKD,118M,-5.36%,Internet Gaming
FENBI LTD.,0.6400HKD,194M,-68.29%,Miscellaneous Educational Service Providers
FENGYINHE HOLDINGS LIMITED,1.030HKD,48.15M,-90.84%,Financial Technology (Fintech) (NEC)
FICUS TECHNOLOGY HOLDINGS LIMITED,0.1490HKD,26.11M,-56.18%,Diversified Industrial Goods Wholesale
FIH MOBILE LIMITED,28.48HKD,2.82B,46.54%,Phones & Smart Phones
"FINANCIAL STREET PROPERTY CO., LIMITED",2.160HKD,107M,5.88%,Office Real Estate Services
"FINANCIAL STREET SECURITIES CO., LIMITED",1.300HKD,432M,-20.25%,Diversified Investment Services
FINELAND LIVING SERVICES GROUP LIMITED,0.1320HKD,6.74M,62.96%,Other Real Estate Services
FINET GROUP LIMITED,0.1080HKD,13.78M,30.12%,Other Professional Information Services
FINGERTANGO INC.,0.1680HKD,41.12M,-8.20%,Mobile Application Software
FINSOFT FINANCIAL INVESTMENT HOLDINGS LIMITED,0.0420HKD,2.64M,23.53%,Other Software
FIRE ROCK HOLDINGS LIMITED,2.050HKD,61.98M,28.12%,Internet Gaming
FIRST CREDIT FINANCE GROUP LIMITED,0.1080HKD,0,-,Other Consumer Lending
FIRST PACIFIC COMPANY LIMITED,5.210HKD,2.91B,-12.58%,Other Food Processing
FIRST SERVICE HOLDING LIMITED,0.1690HKD,24.2M,-24.89%,Other Real Estate Services
FIRST SHANGHAI INVESTMENTS LIMITED,0.1990HKD,55.08M,-20.08%,Other Investment Banking & Brokerage Services
FIRST TRACTOR COMPANY LIMITED,8.270HKD,1.77B,-0.24%,Agricultural Machinery
FIT HON TENG LIMITED,8.750HKD,8.23B,76.97%,Electronic Component
"FLAT GLASS GROUP CO., LTD.",8.130HKD,3.88B,-13.79%,Photovoltaic Solar Systems & Equipment
FLOWING CLOUD TECHNOLOGY LTD,1.100HKD,19.58M,-14.06%,Other Advertising & Marketing
FLYDOO TECHNOLOGY HOLDING LIMITED,0.4050HKD,2.21M,-45.27%,Banquet Halls & Catering
"FOLANGSI CO., LTD.",5.820HKD,269M,-3.32%,Commercial Equipment Rental
FORGAME HOLDINGS LIMITED,0.7600HKD,16.33M,-7.32%,Semiconductor Wholesale
FORTUNE REAL ESTATE INVESTMENT TRUST,4.800HKD,1.28B,-1.84%,Retail REITs
FORTUNE SUN (CHINA) HOLDINGS LIMITED,0.3600HKD,11.31M,-.--%,Other Real Estate Services
FORWARD FASHION (INTERNATIONAL) HOLDINGS COMPANY LIMITED,0.6700HKD,35.73M,139.29%,Women's Apparel Retailers
FOSUN INTERNATIONAL LIMITED,3.910HKD,4.14B,-10.73%,Consumer Goods Conglomerates
FOUNDER HOLDINGS LIMITED,0.6800HKD,105M,-17.07%,Other IT Services & Consulting
FOUNTAIN SET (HOLDINGS) LIMITED,0.7300HKD,114M,21.67%,Other Textiles & Leather Goods
FOUR SEAS MERCANTILE HOLDINGS LIMITED,2.500HKD,121M,-7.75%,Other Food Processing
FOURACE INDUSTRIES GROUP HOLDINGS LIMITED,0.2270HKD,37.2M,-4.22%,Household Appliances
FREETECH ROAD RECYCLING TECHNOLOGY (HOLDINGS) LIMITED,0.1350HKD,18.59M,-3.57%,Other Construction & Engineering
FRIENDTIMES INC.,0.4450HKD,123M,-2.20%,Mobile Application Software
FRONTAGE HOLDINGS CORPORATION,0.8700HKD,235M,-13.00%,Other Biotechnology & Medical Research
FRONTIER SERVICES GROUP LIMITED,0.0690HKD,21.16M,-13.75%,Security Services
FS.COM LIMITED,40.12HKD,2.17B,-,Other Communications & Networking
FSE LIFESTYLE SERVICES LIMITED,5.420HKD,313M,-3.90%,"Waste Management, Disposal & Recycling Services"
FSM HOLDINGS LIMITED,0.1400HKD,17.87M,-25.93%,Metallic Rolling & Drawing Products
FU SHEK FINANCIAL HOLDINGS LIMITED,0.3700HKD,47.86M,27.59%,Consumer Leasing
FU SHOU YUAN INTERNATIONAL GROUP LIMITED,2.640HKD,765M,-6.05%,Funeral Services
FUFENG GROUP LIMITED,6.060HKD,1.94B,-23.10%,Food Ingredients
"FUJIAN HAIXI PHARMACEUTICALS CO., LTD.",228.00HKD,2.43B,67.79%,Other Pharmaceuticals
FUJIAN HOLDINGS LIMITED,0.1190HKD,17.4M,27.96%,Hotels & Motels
FUJIKON INDUSTRIAL HOLDINGS LIMITED,0.5200HKD,33.91M,-22.39%,Other Household Electronics
"FUJING HOLDINGS CO., LIMITED",0.5600HKD,35.1M,19.15%,"Vegetable, Fruit & Nut Farming"
FULLSHARE HOLDINGS LIMITED,1.380HKD,112M,820.00%,Other Heavy Electrical Equipment
FULU HOLDINGS LIMITED,1.000HKD,51.82M,-23.08%,Marketing Consulting Services
FULUM GROUP HOLDINGS LIMITED,0.0480HKD,7.96M,-40.00%,Commercial Food Services
FURNIWEB HOLDINGS LIMITED,0.2240HKD,28.28M,64.71%,Other Textiles & Leather Goods
FUSEN PHARMACEUTICAL COMPANY LIMITED,1.090HKD,103M,36.25%,Generic Pharmaceuticals
FUTIAN HOLDINGS LIMITED,0.9200HKD,5.88M,39.39%,Other Industrial Machinery & Equipment
FUTONG TECHNOLOGY DEVELOPMENT HOLDINGS LIMITED,5.300HKD,217M,636.11%,Other Computer Hardware
FUTURE BRIGHT HOLDINGS LIMITED,0.1000HKD,9.3M,-25.37%,Commercial Food Services
FUTURE BRIGHT MINING HOLDINGS LIMITED,0.1470HKD,23.71M,-21.81%,Coal Wholesale
FUTURE DATA GROUP LIMITED,0.5800HKD,40.76M,16.00%,Technology Consulting & Outsourcing Services
FUTURE MACHINE LIMITED,0.3300HKD,62.21M,-47.62%,Phones & Smart Phones
FUTURE WORLD HOLDINGS LIMITED,0.4050HKD,15.58M,-10.00%,Other Restaurants & Bars
FWD GROUP HOLDINGS LIMITED,30.20HKD,4.9B,-20.61%,Other Life & Health Insurance
"FY FINANCIAL (SHENZHEN) CO., LTD.",0.3100HKD,14.22M,6.90%,Other Corporate Financial Services
G & M HOLDINGS LIMITED,0.3800HKD,49.28M,2.70%,Other Construction & Engineering
G-RESOURCES GROUP LIMITED,7.670HKD,445M,-35.87%,Other Investment Management & Fund Operators
G-VISION INTERNATIONAL (HOLDINGS) LIMITED,0.0290HKD,7.45M,3.57%,Other Restaurants & Bars
G.A. HOLDINGS LIMITED,0.0380HKD,2.31M,-.--%,Auto & Truck Wholesale
GALA TECHNOLOGY HOLDING LIMITED,4.960HKD,90.88M,-22.26%,Mobile Application Software
GALAXY ENTERTAINMENT GROUP LIMITED,31.78HKD,17.77B,-17.07%,Other Casinos & Gaming
GAMEONE HOLDINGS LIMITED,0.6000HKD,4.36M,-3.23%,Other Software
GANGLONG CHINA PROPERTY GROUP LIMITED,0.2200HKD,43.26M,201.37%,Residential Real Estate Development
GANGYU SMART URBAN SERVICES HOLDING LIMITED,1.540HKD,50.79M,-16.76%,Other Real Estate Services
GAODI HOLDINGS LIMITED,0.2090HKD,7.02M,-65.74%,Seafood Product Preparation & Packaging
GAOYU FINANCE GROUP LIMITED,1.920HKD,11.85M,70.54%,Other Consumer Lending
GAUSH MEDITECH LTD,5.300HKD,97.18M,-35.68%,Medical Equipment Wholesale
GBA HOLDINGS LIMITED,0.2210HKD,8.03M,-7.92%,Other Real Estate Development & Operations
GC CONSTRUCTION HOLDINGS LIMITED,0.5400HKD,67.64M,38.46%,Other Construction & Engineering
GCL NEW ENERGY HOLDINGS LIMITED,0.8300HKD,195M,2.47%,Solar Electric Ultilities
GCL TECHNOLOGY HOLDINGS LIMITED,0.8300HKD,3.48B,-21.70%,Photovoltaic Solar Systems & Equipment
GDH GUANGNAN (HOLDINGS) LIMITED,0.6500HKD,75.29M,-23.53%,"Iron, Steel Mills & Foundries"
GEELY AUTOMOBILE HOLDINGS LIMITED,19.14HKD,26.77B,6.87%,Other Auto & Truck Manufacturers
GEMDALE PROPERTIES AND INVESTMENT CORPORATION LIMITED,0.1260HKD,276M,-18.71%,Other Real Estate Development & Operations
GEMILANG INTERNATIONAL LIMITED,0.4050HKD,14.28M,44.64%,Heavy Buses & Coaches
GEMINI INVESTMENTS (HOLDINGS) LIMITED,0.1900HKD,15.41M,-11.63%,Other Real Estate Development & Operations
GENERTEC UNIVERSAL MEDICAL GROUP COMPANY LIMITED,5.350HKD,1.39B,-10.08%,Other Healthcare Facilities & Services
GENESIS SCALE HOLDINGS LIMITED,0.6500HKD,54.22M,-41.44%,Other IT Services & Consulting
GENFLEET THERAPEUTICS (SHANGHAI) INC.,33.18HKD,1.58B,41.97%,Bio Therapeutic Drugs
GENSCRIPT BIOTECH CORPORATION,13.35HKD,3.62B,7.49%,Other Biotechnology & Medical Research
GEOTECH HOLDINGS LTD.,0.0420HKD,9M,20.00%,Other Construction & Engineering
GET NICE HOLDINGS LIMITED,3.570HKD,289M,18.60%,Other Investment Banking & Brokerage Services
GHW INTERNATIONAL,1.690HKD,201M,-6.11%,Other Commodity Chemicals
"GIANT BIOGENE HOLDING CO., LTD.",27.00HKD,3.72B,-18.87%,Other Personal Products
GILSTON GROUP LIMITED,1.350HKD,98.98M,-9.40%,Accessories
GIORDANO INTERNATIONAL LIMITED,1.490HKD,307M,4.20%,Other Apparel & Accessories Retailers
GL-CARLINK TECHNOLOGY HOLDING LIMITED,3.530HKD,164M,-51.78%,Integrated Hardware & Software
GLOBAL BIO-CHEM TECHNOLOGY GROUP COMPANY LIMITED,0.0600HKD,129M,-7.69%,Other Agricultural Chemicals
GLOBAL CHINESE BUSINESS CLUB,17.35HKD,2.41B,465.15%,Other Construction & Engineering
GLOBAL CORN GROUP LIMITED,0.0700HKD,17.01M,-23.08%,Other Food Processing
GLOBAL DIGITAL CREATIONS HOLDINGS LIMITED,0.0730HKD,13.81M,12.31%,"Movie, TV Production & Distribution"
GLOBAL INTERNATIONAL CREDIT GROUP LIMITED,1.190HKD,55.13M,32.22%,Other Consumer Lending
GLOBAL LINK COMMUNICATIONS HOLDINGS LIMITED,0.0930HKD,3.87M,0.00%,Other IT Services & Consulting
GLOBAL MASTERMIND HOLDINGS LIMITED,0.0220HKD,1.43M,-.--%,Other Professional Information Services
GLOBAL NEW MATERIAL INTERNATIONAL HOLDINGS LIMITED,6.980HKD,1.16B,-32.50%,Other Specialty Chemicals
GLOBAL STRATEGIC GROUP LIMITED,0.5000HKD,13.57M,78.57%,Other Oil Related Services and Equipment
GLOBAL UIN INTELLIGENCE HOLDINGS LIMITED,0.0410HKD,1.39M,-26.79%,Bread & Bakery Product Manufacturing
GLORIOUS PROPERTY HOLDINGS LIMITED,0.0100HKD,9.94M,-.--%,Other Real Estate Development & Operations
GLORIOUS SUN ENTERPRISES LIMITED,1.330HKD,255M,-5.67%,Interior Design Services
GLORY FLAME HOLDINGS LIMITED,0.0330HKD,4M,50.00%,Building Contractors
GLORY HEALTH INDUSTRY LIMITED,0.1050HKD,58.98M,-17.32%,Other Real Estate Development & Operations
GLORY SUN LAND GROUP LIMITED,0.1060HKD,1.48M,-.--%,Specialty Mining & Metals Wholesale
GME GROUP HOLDINGS LIMITED,1.320HKD,85.84M,28.16%,Other Construction & Engineering
GO UP EDUCATION TECHNOLOGY LIMITED,0.4150HKD,53.99M,-16.16%,Other Apparel & Accessories
GOFINTECH QUANTUM INNOVATION LIMITED,5.690HKD,8.38B,113.11%,Brokerage Services
GOGOX HOLDINGS LIMITED,1.750HKD,15.16M,-19.35%,Freight Logistics
GOLD PEAK TECHNOLOGY GROUP LIMITED,0.6800HKD,76.05M,-11.69%,Batteries & Uninterruptable Power Supplies
GOLDEN FAITH GROUP HOLDINGS LIMITED,0.4600HKD,40.47M,33.33%,Other Holding Companies
GOLDEN LEAF INTERNATIONAL GROUP LIMITED,0.2550HKD,13.02M,-23.88%,Other Construction & Engineering
GOLDEN POWER GROUP HOLDINGS LIMITED,1.400HKD,7.39M,15.70%,Batteries & Uninterruptable Power Supplies
GOLDEN RESOURCES DEVELOPMENT INTERNATIONAL LIMITED,0.3400HKD,74.73M,-2.86%,Supermarkets & Convenience Stores
GOLDEN SOLAR NEW ENERGY TECHNOLOGY HOLDINGS LIMITED,0.9000HKD,246M,-29.13%,Other Footwear
GOLDEN THROAT HOLDINGS GROUP COMPANY LIMITED,3.400HKD,324M,11.48%,Generic Pharmaceuticals
GOLDEN WHEEL TIANDI HOLDINGS COMPANY LIMITED,0.3550HKD,8.84M,-4.05%,Other Real Estate Development & Operations
GOLDLION HOLDINGS LIMITED,0.9700HKD,123M,2.11%,Other Apparel & Accessories
GOLDPAC GROUP LIMITED,0.7200HKD,81.23M,-14.29%,Other Software
GOLDSTONE CAPITAL GROUP LIMITED,0.6500HKD,19.68M,58.54%,Other Investment Management & Fund Operators
GOLDSTREAM INVESTMENT LIMITED,4.900HKD,163M,59.09%,Other Investment Management & Fund Operators
GOLDWAY EDUCATION GROUP LIMITED,0.5900HKD,15.56M,66.20%,Miscellaneous Educational Service Providers
GOLIK HOLDINGS LIMITED,1.170HKD,85.76M,0.86%,Construction Material Wholesale
GOME RETAIL HOLDINGS LIMITED,0.0130HKD,120M,-13.33%,Other Computer & Electronics Retailers
GOOD FELLOW HEALTHCARE HOLDINGS LIMITED,0.0820HKD,14.36M,-59.20%,"Hospitals, Clinics & Primary Care Services"
GOODBABY INTERNATIONAL HOLDINGS LIMITED,0.9000HKD,196M,-18.18%,Other Toys & Juvenile Products
GPIXEL CHANGCHUN MICROELECTRONICS INC.,104.90HKD,5.94B,-,Other Semiconductors
GR LIFE STYLE COMPANY LIMITED,2.330HKD,945M,0.00%,Other Real Estate Services
GRACE LIFE-TECH HOLDINGS LIMITED,0.0710HKD,14.16M,22.41%,Petroleum Product Wholesale
GRACE WINE HOLDINGS LIMITED,0.5700HKD,62.25M,48.05%,Wineries
GRAND BAOXIN AUTO GROUP LIMITED,0.0860HKD,31.14M,-.--%,"Other Auto Vehicles, Parts & Service Retailers"
GRAND BRILLIANCE GROUP HOLDINGS LIMITED,0.1420HKD,14.6M,8.40%,Medical Equipment Wholesale
GRAND FIELD GROUP HOLDINGS LIMITED,8.220HKD,21.72M,8.16%,Other Real Estate Development & Operations
GRAND MING GROUP HOLDINGS LIMITED,0.4550HKD,83.37M,-47.70%,Other Real Estate Development & Operations
GRAND OCEAN ADVANCED RESOURCES COMPANY LIMITED,0.2400HKD,7.52M,-33.33%,Other Coal
GRAND PHARMACEUTICAL GROUP LIMITED,5.250HKD,2.44B,-33.12%,Other Pharmaceuticals
GRAND POWER LOGISTICS GROUP LIMITED,0.2500HKD,10.79M,-37.50%,Other Air Freight & Logistics
GRANDSHORES TECHNOLOGY GROUP LIMITED,0.0670HKD,10.67M,-9.46%,Other Construction & Engineering
GRAPHEX GROUP LIMITED,0.0520HKD,6.01M,-75.81%,Other Specialty Chemicals
GREAT CHINA HOLDINGS (HONG KONG) LIMITED,0.0870HKD,46.16M,-15.53%,Other Real Estate Development & Operations
GREAT EAGLE HOLDINGS LIMITED,16.51HKD,1.64B,9.41%,Other Real Estate Development & Operations
GREAT HARVEST MAETA HOLDINGS LIMITED,0.0570HKD,9M,-28.75%,Deep Sea Freight
GREAT WALL MOTOR COMPANY LIMITED,10.38HKD,19.25B,-32.16%,Other Auto & Truck Manufacturers
GREAT WALL PAN ASIA HOLDINGS LIMITED,0.2480HKD,49.61M,1.64%,Other Real Estate Development & Operations
GREAT WALL TERROIR HOLDINGS LIMITED,1.570HKD,42.51M,492.45%,Other Integrated Telecommunications Services
GREAT WORLD COMPANY HOLDINGS LTD,0.1270HKD,4.28M,-17.53%,Advertising Agency
"GREATER BAY AREA AI COMPUTING TECH CO., LTD.",14.14HKD,2.3B,190.35%,Machine Learning & Artificial Intelligence (AI) Services
GREATER BAY AREA DYNAMIC GROWTH HOLDING LIMITED,0.0480HKD,4.83M,-.--%,Hotels & Motels
GREATER CHINA FINANCIAL HOLDINGS LIMITED,0.0100HKD,9.92M,-.--%,Other Consumer Lending
GREATIME INTERNATIONAL HOLDINGS LIMITED,0.4250HKD,26.49M,-16.67%,Other Apparel & Accessories
GREATVIEW ASEPTIC PACKAGING COMPANY LIMITED,2.500HKD,449M,-.--%,Other Non-Paper Containers & Packaging
GREEN ECONOMY DEVELOPMENT LIMITED,0.1010HKD,8.33M,-27.34%,Metal Merchant Wholesale
GREEN ENERGY GROUP LIMITED,0.3200HKD,53.65M,14.29%,Biodiesel
GREEN FRESH BIOTECHNOLOGY COMPANY LIMITED,0.6600HKD,73.62M,0.00%,Other Food Processing
GREEN INTERNATIONAL HOLDINGS LIMITED,0.6100HKD,51.37M,10.91%,Other Toys & Juvenile Products
GREEN LEADER HOLDINGS GROUP LIMITED,0.0650HKD,4.37M,-22.62%,Other Coal
GREEN TEA GROUP LIMITED,7.110HKD,611M,7.40%,Other Restaurants & Bars
GREENHEART GROUP LIMITED,0.0640HKD,22.72M,-28.09%,Other Forest & Wood Products
GREENLAND HONG KONG HOLDINGS LIMITED,0.1700HKD,63.96M,-22.73%,Residential Real Estate Development
GREENTECH TECHNOLOGY INTERNATIONAL LIMITED,0.2800HKD,48.81M,-.--%,Specialty Mining & Metals Wholesale
GREENTOWN CHINA HOLDINGS LIMITED,8.850HKD,2.98B,4.49%,Other Real Estate Development & Operations
GREENTOWN MANAGEMENT HOLDINGS COMPANY LIMITED,1.990HKD,533M,-28.16%,Commercial Buildings
GREENTOWN SERVICE GROUP CO. LTD.,4.350HKD,1.81B,-7.25%,Residential Real Estate Services
GROWN UP GROUP INVESTMENT HOLDINGS LIMITED,0.0400HKD,6.43M,-14.89%,Textile Containers & Packaging
GT GOLD HOLDINGS LIMITED,0.3700HKD,443M,-27.45%,Other Gold
GUAN CHAO HOLDINGS LIMITED,5.340HKD,422M,-26.85%,Auto & Truck Wholesale
GUANGDONG ADWAY CONSTRUCTION (GROUP) HOLDINGS COMPANY LIMITED,0.0720HKD,2.21M,-.--%,Civil Engineers & Architects
"GUANGDONG HUAYAN ROBOTICS CO., LTD.",20.50HKD,1.43B,-,Advanced Electronic Equipment
GUANGDONG INVESTMENT LIMITED,8.240HKD,6.93B,21.35%,Water Supply & Irrigation Systems
"GUANGDONG JOIN-SHARE FINANCING GUARANTEE INVESTMENT CO., LTD.",0.1900HKD,37.84M,-38.71%,Other Corporate Financial Services
"GUANGDONG KANGHUA HEALTHCARE GROUP CO., LTD.",1.930HKD,81.93M,11.56%,"Hospitals, Clinics & Primary Care Services"
GUANGDONG LAND HOLDINGS LIMITED,0.2240HKD,49.8M,-0.88%,Other Real Estate Development & Operations
"GUANGDONG SYNTRUST GK TESTING AND CERTIFICATION TECH SERVICE CENTER CO., LTD.",8.490HKD,36.67M,-10.06%,Other Construction & Engineering
"GUANGDONG TIANYU SEMICONDUCTOR CO., LTD.",59.90HKD,2.74B,24.79%,Other Semiconductors
GUANGDONG YUEYUN TRANSPORTATION COMPANY LIMITED,1.390HKD,146M,-14.72%,"Other Passenger Transportation, Ground & Sea"
GUANGSHEN RAILWAY COMPANY LIMITED,2.250HKD,2.93B,3.69%,Rail Services
"GUANGZHOU INNOGEN PHARMACEUTICAL GROUP CO., LTD",11.34HKD,697M,-62.99%,Biopharmaceuticals
"GUANGZHOU R&F PROPERTIES CO., LTD.",0.3600HKD,182M,-29.41%,Other Real Estate Development & Operations
"GUANGZHOU RURAL COMMERCIAL BANK CO., LTD.",1.600HKD,2.91B,5.26%,Commercial Banks
"GUANGZHOU XIAO NOODLES CATERING MANAGEMENT CO., LTD.",4.050HKD,367M,-10.00%,Other Restaurants & Bars
"GUANZE MEDICAL INFORMATION INDUSTRY (HOLDING) CO., LTD.",4.700HKD,662M,786.79%,Other Advanced Medical Equipment & Technology
GUDOU HOLDINGS LIMITED,0.0540HKD,9.39M,-34.15%,Resort Operators
GUMING HOLDINGS LIMITED,22.44HKD,6.77B,-9.44%,Other Restaurants & Bars
GUOCO GROUP LIMITED,70.00HKD,2.93B,-0.99%,Other Real Estate Development & Operations
GUOEN HOLDINGS LIMITED,0.5600HKD,2.18M,-34.12%,Advertising Agency
"GUOLIAN MINSHENG SECURITIES CO., LTD.",3.990HKD,7.26B,-23.42%,Other Investment Banking & Brokerage Services
"GUOQUAN FOOD (SHANGHAI) CO., LTD.",2.240HKD,807M,-37.43%,Other Food Retail & Distribution
GUOTAI JUNAN INTERNATIONAL HOLDINGS LIMITED,2.080HKD,2.65B,-18.43%,Other Investment Management & Fund Operators
"GUOXIA TECHNOLOGY CO., LTD.",21.00HKD,1.54B,-46.10%,Other Electrical Components & Equipment
GUSHENGTANG HOLDINGS LIMITED,25.98HKD,736M,-7.87%,Alternative Medicine Facilities
HAICHANG OCEAN PARK HOLDINGS LTD.,0.3900HKD,666M,-14.29%,Amusement Parks and Zoos
HAIDILAO INTERNATIONAL HOLDING LTD.,12.29HKD,9B,-13.75%,Other Restaurants & Bars
HAINA INTELLIGENT EQUIPMENT INTERNATIONAL HOLDINGS LIMITED,2.160HKD,173M,-30.99%,Industrial Machinery
HAINAN MEILAN INTERNATIONAL AIRPORT COMPANY LIMITED,4.880HKD,302M,-54.39%,Airport Operators
HAITIAN INTERNATIONAL HOLDINGS LIMITED,19.77HKD,4.23B,-10.79%,Industrial Machinery
"HAITONG UNITRUST INTERNATIONAL FINANCIAL LEASING CO., LTD.",0.7300HKD,788M,-6.41%,Commercial Leasing
HANFORT DEVELOPMENT HOLDINGS LIMITED,0.0550HKD,41.07M,-34.52%,Resort Operators
HANG LUNG GROUP LIMITED,14.48HKD,2.67B,-4.99%,Other Real Estate Development & Operations
HANG LUNG PROPERTIES LIMITED,7.860HKD,5.26B,-8.71%,Other Real Estate Development & Operations
HANG PIN LIVING TECHNOLOGY COMPANY LIMITED,0.2800HKD,24.97M,47.37%,Apparel Wholesale
